name,iata_code
Aleknagik / New Airport,WKK
Honiara International Airport,HIR
Munda Airport,MUA
Nauru International Airport,INU
Alxa Left Banner Bayanhot Airport,AXF
Baimuru Airport,VMU
Buka Airport,BUA
Balimo Airport,OPU
Chimbu Airport,CMU
Daru Airport,DAU
Goroka Airport,GKA
Gurney Airport,GUR
Girua Airport,PNP
Hoskins Airport,HKN
Kerema Airport,KMA
Kavieng Airport,KVG
Madang Airport,MAG
Mount Hagen Kagamuga Airport,HGU
Mendi Airport,MDU
Momote Airport,MAS
Nadzab Airport,LAE
Port Moresby Jacksons International Airport,POM
Tokua Airport,RAB
Vanimo Airport,VAI
Wapenamanda Airport,WBM
Wewak International Airport,WWK
Aasiaat Airport,JEG
Narsarsuaq Airport,UAK
Nuuk Airport,GOH
Ilulissat Airport,JAV
Kulusuk Airport,KUS
Kangerlussuaq Airport,SFJ
Sisimiut Airport,JHS
Pituffik Space Base,THU
Akureyri Airport,AEY
Egilsstaðir Airport,EGS
Hornafjörður Airport,HFN
Húsavík Airport,HZK
Ísafjörður Airport,IFJ
Keflavik International Airport,KEF
Reykjavík Domestic Airport,RKV
Priština Adem Jashari International Airport,PRN
Glauber de Andrade Rocha Airport,VDC
Caye Caulker Airport,CUK
Caye Chapel Airport,CYC
Corozal Airport,CZH
Dangriga Airport,DGA
Punta Gorda Airport,PND
John Greif II Airport,SPR
Sir Barry Bowen Municipal Airport,TZA
Anahim Lake Airport,YAA
Qualicum Beach Airport,XQU
Bella Bella (Campbell Island) Airport,ZEL
Shaoguan Danxia Airport,HSC
Jinggangshan Airport,JGS
Rikaze Dingri Airport,DDR
Tashikuergan Hongqilafu Airport,HQL
Fort Frances Municipal Airport,YAG
Sault Ste Marie Airport,YAM
Kasabonika Airport,XKS
St. Anthony Airport,YAY
Tofino / Long Beach Airport,YAZ
Baie-Comeau Airport,YBC
Bella Coola Airport,QBC
Bonnyville Airport,YBY
CFB Bagotville / Saguenay-Bagotville Airport,YBG
Baker Lake Airport,YBK
Campbell River Airport,YBL
Brandon Municipal Airport,YBR
Lourdes-de-Blanc-Sablon Airport,YBX
Cambridge Bay Airport,YCB
Nanaimo Airport,YCD
Castlegar/West Kootenay Regional Airport,YCG
Charlo Airport,YCL
Dawson City Airport,YDA
Deer Lake Airport,YDF
Dauphin Barker Airport,YDN
Edmonton International Airport,YEG
Inuvik Mike Zubko Airport,YEV
Iqaluit Airport,YFB
Fredericton Airport,YFC
Fort Simpson Airport,YFS
La Grande Rivière Airport,YGL
Michel-Pouliot Gaspé Airport,YGP
Îles-de-la-Madeleine Airport,YGR
Havre-Saint-Pierre Airport,YGV
Kuujjuarapik Airport,YGW
John C. Munro Hamilton International Airport,YHM
Montréal / Saint-Hubert Metropolitan Airport,YHU
Hay River / Merlyn Carter Airport,YHY
Halifax / Stanfield International Airport,YHZ
St Augustin Airport,YIF
Island Lake Airport,YIV
Kamloops John Moose Fulton Field Regional Airport,YKA
Region of Waterloo International Airport,YKF
Schefferville Airport,YKL
Lloydminster Airport,YLL
Barrie-Lake Simcoe Regional Airport,YLK
Kelowna International Airport,YLW
Fort McMurray Airport,YMM
Moosonee Airport,YMO
Chapais Airport,YMT
Natashquan Airport,YNA
Ottawa / Gatineau Airport,YND
Points North Landing Airport,YNL
High Level Airport,YOJ
Ottawa Macdonald-Cartier International Airport,YOW
Prince Albert Glass Field,YPA
Peace River Airport,YPE
Pickle Lake Airport,YPL
Port-Menier Airport,YPN
Prince Rupert Airport,YPR
Powell River Airport,YPW
Puvirnituq Airport,YPX
Fort Chipewyan Airport,YPY
Burns Lake Airport,YPZ
Muskoka Airport,YQA
Quebec Jean Lesage International Airport,YQB
The Pas Airport,YQD
Windsor Airport,YQG
Watson Lake Airport,YQH
Kenora Airport,YQK
Lethbridge County Airport,YQL
Greater Moncton Roméo LeBlanc International Airport,YQM
Nakina Airport,YQN
Comox Valley Airport / CFB Comox,YQQ
Regina International Airport,YQR
Thunder Bay Airport,YQT
Grande Prairie Airport,YQU
Gander International Airport / CFB Gander,YQX
Sydney / J.A. Douglas McCurdy Airport,YQY
Quesnel Airport,YQZ
Resolute Bay Airport,YRB
Roberval Airport,YRJ
Red Lake Airport,YRL
Rankin Inlet Airport,YRT
Sudbury Airport,YSB
Stony Rapids Airport,YSF
Saint John Airport,YSJ
Fort Smith Airport,YSM
Niagara District Airport,YCM
Thompson Airport,YTH
Timmins/Victor M. Power,YTS
Billy Bishop Toronto City Centre Airport,YTZ
Montreal / Pierre Elliott Trudeau International Airport,YUL
Hall Beach Airport,YUX
Rouyn Noranda Airport,YUY
Bonaventure Airport,YVB
La Ronge Airport,YVC
Val-d'Or Airport,YVO
Kuujjuaq Airport,YVP
Norman Wells Airport,YVQ
Vancouver International Airport,YVR
Wiarton Airport,YVV
Winnipeg / James Armstrong Richardson International Airport,YWG
Wabush Airport,YWK
Williams Lake Airport,YWL
Cranbrook/Canadian Rockies International Airport,YXC
Saskatoon John G. Diefenbaker International Airport,YXE
Medicine Hat Regional Airport,YXH
Fort St John / North Peace Regional Airport,YXJ
